dwarf_name,Distance,Mass,Radius
54 Piscium,Pisces,00h 39m 22s,+21° 15′ 02″
81 Cancri,Cancer,9 h 12 m 14.69s,14°  59 ′  39.6″
AB Pictoris,Pictor,06h  19s,−58° 03′ 15″
CD−33°7795,Hydra,11h 31m 55s,–34° 36′ 17″
CT Chamaeleontis,Chamaeleon,11h 04m 09s,–76° 27′ 19″
Eta Coronae Borealis,Corona Borealis,15h 23m 22.6s,30° 14′ 56″
G 196-3,Ursa Major,10h 04m 22s,+50° 23′ 23″
GD 165,Boötes,14h 24m 39.144s,9° 17′ 13.98″
Gliese 570,Libra,14h 57m 28s,−21° 24′ 56″
GU Piscium,Pisces,01h 12m 35.04s,+17° 03′ 55.7″
HD 89744,Ursa Major,10h 22m 10.56s,+41° 13′ 46.31″
HD 100546,Musca,11h 33m 25s,–70° 11′ 41″
HN Pegasi,Pegasus,21h 44m 28.46s,+14° 46′ 7.8″
LHS 4040 [es],Sculptor,23h 54m 9.28s,－33°  16 ′  26.6″
UScoCTIO 108,Scorpius,16h 05m 54s,–18° 18′ 43″
WD 0137-349,Sculptor,01h 39m 43s,−34° 42′ 39″
HD 41004 B,Pictor,05h 59m 50s,–48° 14′ 23″
HD 149382,Ophiuchus,16h 34m 23s,−04° 00′ 52″
CoRoT-15,Monoceros,06h 28m 27.81s,+6° 11′ 10.5″
Xi Ursae Majoris B,Ursa Major,11h 18m 12s,+31° 32′ 15″
Upsilon Andromedae,Andromeda,01h 36m 48s,+41° 24′ 20″
Gliese 758,Lyra,19h 23m 34s,+33° 13′ 19″
HD 112758,Virgo,12h 59m 03s,–09° 50′ 03″
BD−04°782,Eridanus,04h 15m 10s,–04° 25′ 06″
HD 110833,Canes Venatici,12h 44m 16s,+51° 45′ 40″
HD 89707,Hydra,10h 20m 50s,–15° 28′ 48″
Tau Geminorum,Gemini,07h 11m 08s,+30° 14′ 43″
HAT-P-13,Ursa Major,08h 39m 32s,+47° 21′ 07″
HD 217580,Aquarius,23h 01m 52s,–03° 50′ 55″
HD 16760,Perseus,02h 42m 21s,+38° 37′ 07″
HD 13189,Triangulum,02h 09m 40s,+32° 18′ 59″
HD 18445,Fornax,02h 57m 13s,–24° 58′ 30″
HD 8673,Andromeda,01h 26m 09s,+34° 34′ 47″
NGC 4349-127,Crux,12h 24m 08s,−61° 52′ 18″
Gliese 569,Boötes,14h 54m 29s,+16° 06′ 04″
HD 29587,Perseus,04h 41m 34s,+42° 07′ 25″
ChaHα8,Chamaeleon,11h 07m 48s,−77° 40′ 08″
CoRoT-20,Monoceros,06h 30m 55.3s,+0° 13′ 37″
HD 168443,Serpens,18h 20m 04s,–09° 35′ 34″
HD 38529 A,Orion,05h 46m 34s,+01° 10′ 05″
Epsilon Indi,Indus,22h 03m 22s,–56° 47′ 09″
HW Virginis,Virgo,12h 44m 20s,−08° 40′ 17″
DT Virginis,Virgo,13h 0m 41.74s,12°  21 ′  14.7″
HD 4113,Sculptor,00h 43m 12.60s,−37° 58′ 57.48″
Gliese 229,Lepus,06h 10m 35s,–21° 51′ 42″
TYC 9486-927-1,Octans,21h 26m 50.4s,－81° 40′ 29.3″
Epsilon Indi,Indus,22h 03m 22s,–56° 47′ 09″
HD 131664,Apus,15h 00m 06s,−73° 32′ 07″
HD 136118,Serpens,15h 18m 55s,−01° 35′ 32″
HD 140913,Corona Borealis,15h 45m 07s,+28° 28′ 12″
GQ Lupi b,Lupus,15h 49m 12s,–35° 39′ 03″
HD 162020,Scorpius,17h 50m 38s,–40° 19′ 06″
Nu Ophiuchi,Ophiuchus,17h 59m 01s,−09° 46′ 25″
HD 164427,Telescopium,18h 04m 43s,−59° 12′ 35″
SCR 1845-6357,Pavo,18h 45m 07s,−63° 57′ 43″
COROT-3,Aquila,19h 28m 13s,+00° 07′ 19″
15 Sagittae,Sagitta,20h 04m 06s,+17° 04′ 13″
Zeta Delphini,Delphinus,20h 35m 19s,+14° 40′ 27″
HD 202206,Capricornus,21h 14m 58s,–20° 47′ 20″
