Star_Name,Distance,Mass,Radius,Luminosity,dwarf_name,dwarf_dist,dwarf_mass,dwarf_radius
Sun,0.000015813,1,1,1,54 Piscium,Pisces,53,0.798691378056286
Sirius,0008.6,2.1,1.71,25.4,81 Cancri,Cancer,,
Canopus,0310,15,71,"13,500",AB Pictoris,Pictor,13.5,
Alpha Centauri,0004.4,1.1,1.2,2,CD−33°7795,Hydra,20,
Arcturus,0037,1.1,26,170,CT Chamaeleontis,Chamaeleon,17,2.2
Vega,0025,2.2,2.7,50,Eta Coronae Borealis,Corona Borealis,63,
Capella,0043,2.6,12,150,G 196-3,Ursa Major,25,
Rigel,0860,23,78.9,"120,000",GD 165,Boötes,,
Procyon,0011.4,1.5,1.9,7.7,Gliese 570,Libra,52,
Betelgeuse,0640[1],20,950,"60,000",GU Piscium,Pisces,11,
Achernar,0144,6.7,9.3,"3,000",HD 89744,Ursa Major,,
Hadar,0390,10.5,8.6,"42,000",HD 100546,Musca,20,
Altair,0017,1.8,1.8,10.5,HN Pegasi,Pegasus,28,1.01
Acrux,0320,18,8.9,"25,000",LHS 4040 [es],Sculptor,,
Aldebaran,0065,1.5,44,520,UScoCTIO 108,Scorpius,14,
Antares,0600,12,680,"75,000",WD 0137-349,Sculptor,53,
Spica,0260,11.43,7.47,"20,512",HD 41004 B,Pictor,18.4,
Pollux,0034,1.9,8.8,43,HD 149382,Ophiuchus,15.5,
Fomalhaut,0025,1.9,1.8,16.6,CoRoT-15,Monoceros,63.4,1.12
Deneb,"2,600",19,203,"200,000",Xi Ursae Majoris B,Ursa Major,37,
Mimosa,0350,16,8.4,"34,000",Upsilon Andromedae,Andromeda,13.98,
Regulus,0077,3.8,3.1,290,Gliese 758,Lyra,23,
Adhara,0430,12.5,14,"39,000",HD 112758,Virgo,35,
Shaula,0700,14.5,8.8,"36,000",BD−04°782,Eridanus,21,
Castor,0052,2.8,2.4,30,HD 110833,Canes Venatici,17,
Gacrux,0088,1.5,84,820,HD 89707,Hydra,54,
Bellatrix,0240,8.6,5.8,"9,200",Tau Geminorum,Gemini,18.1,
Elnath,0130,5.0,4.2,700,HAT-P-13,Ursa Major,15.2,
Miaplacidus,0110,3.5,6.8,290,HD 217580,Aquarius,60,
Alnilam,"2,000",32,42,"380,000",HD 16760,Perseus,14.3,
Gamma Velorum,"01,100",9.0,6,"170,000",HD 13189,Triangulum,14,
Alnair,0101,4.0,3.4,260,HD 18445,Fornax,39,
Alioth,0081,2.9,4.2,110,HD 8673,Andromeda,14,
Alnitak,01050,33,20,"120,000",NGC 4349-127,Crux,19.8,
Dubhe,0120,4.25,30,300,Gliese 569,Boötes,116[7],
Mirfak,0590,8.5,68,"5,000",HD 29587,Perseus,40,
Wezen,"1,600",17,200,"82,000",ChaHα8,Chamaeleon,18,
Sargas,0270,5.7,26,"1,800",CoRoT-20,Monoceros,17,
Kaus Australis,0140,3.5,6.8,360,HD 168443,Serpens,34,
Avior,0630,9.0,130,"60,000",HD 38529 A,Orion,37,
Alkaid,0104,6.1,3.4,"1,350",Epsilon Indi,Indus,28,
Menkalinan,081,2.39,2.77,50,HW Virginis,Virgo,19.23,
Atria,0390,7,92,"5,500",DT Virginis,Virgo,12.5,1.1
Alhena,0109,2.8,3.3,120,HD 4113,Sculptor,60,
Peacock,0180,5.9,4.8,"2,200",Gliese 229,Lepus,40,
Alsephina[2],0080,2.4,2.9,90,TYC 9486-927-1,Octans,13.3 (± 1.7)  MJ,
Mirzam,0500,13.5,10,"27,000",Epsilon Indi,Indus,47,
Polaris,0430,5.4,39,"2,500",HD 131664,Apus,18.15,
Alphard,0180,3.0,50,780,HD 136118,Serpens,42,
Mintaka,01200,24,16.5,"190,000",HD 140913,Corona Borealis,46,
Scheat,0196,2.1,95,"1,500",GQ Lupi b,Lupus,1-42,1.8
Almaaz,0653,15,140,"43,000",HD 162020,Scorpius,15.0,
Rasalgethi,0360,2.8,280,"8,300",Nu Ophiuchi,Ophiuchus,21.9,
Tau Ceti,011.9,0.783,0.893,0.52,HD 164427,Telescopium,46,
Delta Pavonis,019.92,0.991,1.22,1.22,SCR 1845-6357,Pavo,40-50,
Ran,010.48,0.82,0.74,0.34,COROT-3,Aquila,21.66,1.01
V382 Carinae,"08,900",20,485,"212,000",15 Sagittae,Sagitta,65,
Eta Carinae,"07,500",100,60 - 881,"5,000,000",Zeta Delphini,Delphinus,55,
Delta Cephei,0887,4.5,44.5,"2,000",HD 202206,Capricornus,17.4,
